time,epoch,batch,loss,accuracy,val_loss,val_accuracy,map,best_epoch,1501
,,,,,,,,,
25.0498655,1,1,3.5368066,0.03125,0,0,0,0,
25.1463661,1,2,3.2821803,0.078125,0,0,0,0,
25.2418003,1,3,2.6795268,0.104166664,0,0,0,0,
25.3424533,1,4,2.7518685,0.125,0,0,0,0,
25.4233378,1,5,3.1230054,0.10625,0,0,0,0,
25.5017251,1,6,3.0729043,0.109375,0,0,0,0,
25.5819956,1,7,3.0117888,0.10714286,0,0,0,0,
25.6569899,1,8,2.9806607,0.12109375,0,0,0,0,
25.739345,1,9,3.2747142,0.121527776,0,0,0,0,
25.8252165,1,10,3.1955671,0.11875,0,0,0,0,
25.8982674,1,11,3.6517289,0.11363637,0,0,0,0,
25.9667917,1,12,2.8273187,0.1171875,0,0,0,0,
26.039039,1,13,3.3163304,0.11298077,0,0,0,0,
26.1110697,1,14,2.8504736,0.118303575,0,0,0,0,
26.2038413,1,15,3.218617,0.11875,0,0,0,0,
26.2919388,1,16,3.6446,0.111328125,0,0,0,0,
26.3737304,1,17,2.709795,0.11764706,0,0,0,0,
26.4421232,1,18,2.8579345,0.11805555,0,0,0,0,
26.5153645,1,19,3.1398153,0.12335526,0,0,0,0,
26.5835795,1,20,3.3533673,0.1203125,0,0,0,0,
26.6503328,1,21,3.2077203,0.11904762,0,0,0,0,
26.7250043,1,22,2.9366198,0.11789773,0,0,0,0,
26.7916496,1,23,3.151588,0.11820652,0,0,0,0,
26.8581565,1,24,2.9761217,0.119791664,0,0,0,0,
26.9317951,1,25,3.1243143,0.12,0,0,0,0,
27.0013964,1,26,2.9580717,0.12379808,0,0,0,0,
27.0671685,1,27,2.9324143,0.121527776,0,0,0,0,
27.139645,1,28,3.1141067,0.12053572,0,0,0,0,
27.2188574,1,29,2.9985635,0.12176724,0,0,0,0,
27.3199513,1,30,3.2719023,0.121875,0,0,0,0,
27.4121136,1,31,3.342752,0.11895161,0,0,0,0,
27.4861656,1,32,3.3254776,0.1171875,0,0,0,0,
27.5586374,1,33,3.0697956,0.11837121,0,0,0,0,
27.6269862,1,34,2.9914522,0.11672794,0,0,0,0,
27.6946662,1,35,3.2450461,0.11696429,0,0,0,0,
27.7782197,1,36,3.358465,0.11631945,0,0,0,0,
27.8489006,1,37,3.4777546,0.11486486,0,0,0,0,
27.9169263,1,38,3.3741872,0.11513158,0,0,0,0,
27.9879722,1,39,2.6686444,0.115384616,0,0,0,0,
28.0563347,1,40,2.9962516,0.115625,0,0,0,0,
28.138977,1,41,2.80237,0.115091465,0,0,0,0,
28.2220763,1,42,2.884911,0.11681548,0,0,0,0,
28.3120655,1,43,3.200999,0.11700582,0,0,0,0,
28.3992978,1,44,2.881673,0.11789773,0,0,0,0,
28.4767502,1,45,2.7466006,0.12013889,0,0,0,0,
28.5705713,1,46,2.6772642,0.11956522,0,0,0,0,
28.6614501,1,47,2.7538562,0.11968085,0,0,0,0,
28.7592887,1,48,2.907611,0.119791664,0,0,0,0,
28.8389745,1,49,2.938219,0.11862245,0,0,0,0,
28.9173537,1,50,3.1912222,0.11875,0,0,0,0,
28.9988666,1,51,3.1181602,0.11764706,0,0,0,0,
29.063959,1,52,3.0135992,0.117788464,0,0,0,0,
29.1423977,1,53,3.3512163,0.1173349,0,0,0,0,
29.210208,1,54,3.1719875,0.11747685,0,0,0,0,
29.2770488,1,55,2.9395323,0.117613636,0,0,0,0,
29.3584324,1,56,3.4997635,0.116071425,0,0,0,0,
29.4426851,1,57,3.026671,0.116228074,0,0,0,0,
29.5175176,1,58,3.2330663,0.11637931,0,0,0,0,
29.5902,1,59,3.3055596,0.115995765,0,0,0,0,
29.6666238,1,60,3.087114,0.116145834,0,0,0,0,
29.7551748,1,61,2.946754,0.11629099,0,0,0,0,
29.8410313,1,62,3.5193005,0.116935484,0,0,0,0,
29.9299063,1,63,3.1165614,0.116071425,0,0,0,0,
30.004355,1,64,3.1131926,0.11621094,0,0,0,0,
30.0693318,1,65,2.786733,0.117788464,0,0,0,0,
30.1432725,1,66,2.810493,0.11837121,0,0,0,0,
30.2136197,1,67,3.4604998,0.11800373,0,0,0,0,
30.2821195,1,68,3.049243,0.11810662,0,0,0,0,
30.3589575,1,69,3.2572734,0.11820652,0,0,0,0,
30.4346321,1,70,3.0803304,0.11875,0,0,0,0,
30.5015329,1,71,3.433663,0.118397884,0,0,0,0,
30.5752469,1,72,3.117598,0.1171875,0,0,0,0,
30.6448131,1,73,3.4174323,0.11686644,0,0,0,0,
30.7286008,1,74,3.2453609,0.11697635,0,0,0,0,
30.8085911,1,75,2.9394197,0.1175,0,0,0,0,
30.8812076,1,76,3.2409437,0.11677632,0,0,0,0,
30.9600354,1,77,2.9188924,0.11647727,0,0,0,0,
31.032504,1,78,2.8259742,0.116185896,0,0,0,0,
31.1019059,1,79,2.981033,0.11629747,0,0,0,0,
31.1825509,1,80,2.738852,0.11757813,0,0,0,0,
31.2526931,1,81,3.5081644,0.117669754,0,0,0,0,
31.3217255,1,82,3.7522564,0.116615854,0,0,0,0,
31.3985493,1,83,3.8328414,0.11709338,0,0,0,0,
31.4721586,1,84,2.5811129,0.117931545,0,0,0,0,
31.5455826,1,85,3.6004252,0.11764706,0,0,0,0,
31.6144278,1,86,3.545389,0.11700582,0,0,0,0,
31.6840149,1,87,3.2135236,0.11637931,0,0,0,0,
31.7744614,1,88,3.2647686,0.11576705,0,0,0,0,
31.8516051,1,89,3.2266703,0.11516854,0,0,0,0,
31.9300571,1,90,3.3679976,0.114583336,0,0,0,0,
32.006833,1,91,3.7970881,0.113667585,0,0,0,0,
32.0758097,1,92,3.3031569,0.11243206,0,0,0,0,
32.1578387,1,93,3.002274,0.11189516,0,0,0,0,
32.231584,1,94,3.22534,0.11170213,0,0,0,0,
32.2978461,1,95,3.0172338,0.110526316,0,0,0,0,
32.3740769,1,96,3.3544252,0.11035156,0,0,0,0,
32.4650392,1,97,3.4922194,0.10953608,0,0,0,0,
32.558891,1,98,3.304275,0.10969388,0,0,0,0,
32.6426933,1,99,3.5376945,0.109217174,0,0,0,0,
32.7290681,1,100,2.898162,0.109375,0,0,0,0,
32.8192218,1,101,3.25274,0.109220296,0,0,0,0,
32.9082482,1,102,3.4013472,0.109681375,0,0,0,0,
32.9957649,1,103,3.1164308,0.1092233,0,0,0,0,
33.0640582,1,104,3.4873028,0.109375,0,0,0,0,
33.1399767,1,105,2.9604335,0.10922619,0,0,0,0,
